"GSM","SampleTitle","Score","GSE","Platform","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied","ScoreZ"
"GSM4709294","wild-type cells 100 nM NTR prodrug treated - rep1",4.17784749542177,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE,0.279928994877255
"GSM4709295","wild-type cells 100 nM negativ control of LSD1 inhibitor treated - rep1",4.15502545307869,"GSE155640","GPL23159","a negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,-0.238372337413158
"GSM4709296","wild-type cells 100 nM negativ control of NTR prodrug treated - rep1",4.11906373103408,"GSE155640","GPL23159","a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,-1.05508313686674
"GSM4709297","wild-type cells vehicle treated - rep1",4.17154669089063,"GSE155640","GPL23159","vehicle DMSO","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,0.136834203714342
"GSM4709298","NTR-expressing cells 50 nM LSD1 inhibitor treated - rep1",4.21524925416694,"GSE155640","GPL23159","LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE,1.12934383234934
"GSM4709299","NTR-expressing cells 100 nM LSD1 inhibitor treated - rep1",4.23151093118641,"GSE155640","GPL23159","LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE,1.49865560286319
"GSM4709300","NTR-expressing cells 50 nM NTR prodrug treated - rep1",4.25519219216935,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE,2.03647027051039
"GSM4709301","NTR-expressing cells 100 nM NTR prodrug treated - rep1",4.24241979662815,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE,1.74640203183014
"GSM4709302","NTR-expressing cells 100 nM negativ control of LSD1 inhibitor treated - rep1",4.20767469105124,"GSE155640","GPL23159","a negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE,0.957321272081928
"GSM4709303","NTR-expressing cells 100 nM negativ control of NTR prodrug treated - rep1",4.21072605050813,"GSE155640","GPL23159","a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE,1.02661935014305
"GSM4709304","NTR-expressing cells vehicle treated - rep1",4.20079445451002,"GSE155640","GPL23159","vehicle DMSO","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE,0.801067256241567
"GSM4709305","wild-type cells 50 nM LSD1 inhibitor treated - rep2",4.12739755379406,"GSE155640","GPL23159","LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE,-0.865817365879292
"GSM4709306","wild-type cells 100 nM LSD1 inhibitor treated - rep2",4.11731927166051,"GSE155640","GPL23159","LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE,-1.09470078387039
"GSM4709307","wild-type cells 50 nM NTR prodrug treated - rep2",4.11749194797769,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE,-1.09077920823286
"GSM4709308","wild-type cells 100 nM NTR prodrug treated - rep2",4.14244692584223,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE,-0.524037718578702
"GSM4709309","wild-type cells 100 nM negativ control of LSD1 inhibitor treated - rep2",4.18473138502735,"GSE155640","GPL23159","a negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,0.436265973850328
"GSM4709310","wild-type cells 100 nM negativ control of NTR prodrug treated - rep2",4.1453267938599,"GSE155640","GPL23159","a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,-0.458634306914458
"GSM4709311","wild-type cells vehicle treated - rep2",4.1405935305456,"GSE155640","GPL23159","vehicle DMSO","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,-0.566129361257464
"GSM4709312","NTR-expressing cells 50 nM LSD1 inhibitor treated - rep2",4.18466530738028,"GSE155640","GPL23159","LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE,0.434765313567704
"GSM4709313","NTR-expressing cells 100 nM LSD1 inhibitor treated - rep2",4.15909044382041,"GSE155640","GPL23159","LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE,-0.146054126557685
"GSM4709314","NTR-expressing cells 50 nM NTR prodrug treated - rep2",4.21972656514601,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE,1.23102606615839
"GSM4709315","NTR-expressing cells 100 nM NTR prodrug treated - rep2",4.11592446843911,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE,-1.12637754430513
"GSM4709316","NTR-expressing cells 100 nM negativ control of LSD1 inhibitor treated - rep2",4.2090155443529,"GSE155640","GPL23159","a negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE,0.98777279969755
"GSM4709317","NTR-expressing cells 100 nM negativ control of NTR prodrug treated - rep2",4.21472027240098,"GSE155640","GPL23159","a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE,1.11733036090204
"GSM4709318","NTR-expressing cells vehicle treated - rep2",4.17952907597639,"GSE155640","GPL23159","vehicle DMSO","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE,0.318118628771886
"GSM4709319","wild-type cells 50 nM LSD1 inhibitor treated - rep3",4.12364229022742,"GSE155640","GPL23159","LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE,-0.951101499544176
"GSM4709320","wild-type cells 100 nM LSD1 inhibitor treated - rep3",4.18095177557308,"GSE155640","GPL23159","LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE,0.350428931475287
"GSM4709321","wild-type cells 50 nM NTR prodrug treated - rep3",4.12127213726031,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE,-1.00492899763221
"GSM4709322","wild-type cells 100 nM NTR prodrug treated - rep3",4.1296203202954,"GSE155640","GPL23159","NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE,-0.815337096773897
"GSM4709323","wild-type cells 100 nM negativ control of LSD1 inhibitor treated - rep3",4.08718895183992,"GSE155640","GPL23159","a negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,-1.77897718081088
"GSM4709324","wild-type cells 100 nM negativ control of NTR prodrug treated - rep3",4.15698324325716,"GSE155640","GPL23159","a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,-0.193909828642503
"GSM4709325","wild-type cells vehicle treated - rep3",4.09221663582399,"GSE155640","GPL23159","vehicle DMSO","THP1 wild-type cells",NA,TRUE,"control","control",TRUE,-1.66479566856484
"GSM4709326","NTR-expressing cells 50 nM LSD1 inhibitor treated - rep3",4.11909166981646,"GSE155640","GPL23159","LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE,-1.05444863150945
"GSM4709327","NTR-expressing cells 100 nM LSD1 inhibitor treated - rep3",4.11463498865065,"GSE155640","GPL23159","LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE,-1.15566235073361
