"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM8062131",1.03222140503505,"GSE255002","NCBI-counts",6,6,"Donor.D1173_DARIC33_CD4_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D1173 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",15792015,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062132",1.31773027757871,"GSE255002","NCBI-counts",6,6,"Donor.D732_DARIC33_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D732 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",19703443,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062133",1.24778607885019,"GSE255002","NCBI-counts",6,6,"Donor.D932_DARIC33_CD8_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D932 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",17071055,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062134",1.35474520935975,"GSE255002","NCBI-counts",6,6,"Donor.D732_Untransduced_CD8_1nM rapamycin_Unstimulated_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D732 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",7355743,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062135",1.27211613157456,"GSE255002","NCBI-counts",6,6,"Donor.D1173_Untransduced_CD8_1nM rapamycin_Unstimulated_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D1173 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",18938969,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062136",1.31027077213416,"GSE255002","NCBI-counts",6,6,"Donor.D732_Untransduced_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D732 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",15427183,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062137",1.15031014366492,"GSE255002","NCBI-counts",6,6,"Donor.D732_Untransduced_CD4_1nM rapamycin_Unstimulated_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D732 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",7419869,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062138",0.94863083695027,"GSE255002","NCBI-counts",6,6,"Donor.D1173_Untransduced_CD4_media alone_Unstimulated_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D1173 | treatment: media alone | stimulation: Unstimulated | time: 24h",9362074,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062139",1.02511348574191,"GSE255002","NCBI-counts",6,6,"Donor.D732_DARIC33_CD4_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D732 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",7530001,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062140",1.42884931331388,"GSE255002","NCBI-counts",6,6,"Donor.D1173_DARIC33_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D1173 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",16958426,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062141",1.39408115577942,"GSE255002","NCBI-counts",6,6,"Donor.D1173_Untransduced_CD8_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D1173 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",15205866,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062142",1.52238476167305,"GSE255002","NCBI-counts",6,6,"Donor.D2172_DARIC33_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D2172 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",10465698,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
