"GSE","Line","Agent","est","null_p","src","q"
"GSE135030","JVM2","Flud_50uM",0.0052589430733645,0.750624687656172,"counts",0.874581058094806
"GSE34672","HL-60","scrambled control shRNA",0.00528641902448806,0.75512243878061,"array",0.874770759416672
"GSE34726","HL-60","scrambled control shRNA",0.00528641902448806,0.735632183908046,"array",0.873133526694597
"GSE125437","EOL-1","Brequinar",0.0053310494548616,0.693653173413293,"counts",0.842012327169748
"GSE220170","AML1","ENTI-2",0.00533475475831541,0.682658670664668,"counts",0.837658465453264
"GSE125437","RS411","Brequinar",0.00551200157591067,0.559220389805097,"counts",0.759582775457191
"GSE241427","U937","I-BRD9",0.00596765587682302,0.676661669165417,"counts",0.836178997879701
"GSE65015","MOLM-14","CA",0.00617032058462687,0.0729635182408796,"array",0.272540200487991
"GSE225384","MV4-11","decitabine",0.00617280029661248,0.655172413793103,"counts",0.823524198491887
"GSE46302","U937","R406",0.00619796967561786,0.383308345827086,"array",0.600989628642469
"GSE119744","CLL cell line","JQ1",0.00653856668040571,0.575712143928036,"counts",0.769636234514322
"GSE234800","Jurkat","veh",0.00676103192348299,0.562218890554723,"counts",0.759593607451593
"GSE125437","MOLM-13","BAY-155",0.00691962479273828,0.548725637181409,"counts",0.749335009914398
"GSE121291","AML cell line  THP-1","SY-1365",0.00730424620179196,0.269365317341329,"array",0.49222151514171
"GSE241649","MOLM14","FLT3i",0.00760540000338766,0.655172413793103,"counts",0.823524198491887
"GSE155559","Human primary leukopheresis sample","Tamibarotene",0.00801792378790703,0.530234882558721,"counts",0.735954427158006
"GSE244855","MOLM13-RES","Gilteritinib",0.00815225574169126,0.796601699150425,"counts",0.884140538426439
"GSE125437","SEM","BAY-155",0.00820859987992459,0.418290854572714,"counts",0.636202856655505
"GSE234800","Jurkat","aps",0.00825471032290484,0.506746626686657,"counts",0.725962861265996
"GSE131325","NB4","No",0.00874103434192867,0.379310344827586,"counts",0.598415078175198
"GSE125437","OCI-AML2","OTX015",0.00891727347382276,0.520739630184908,"counts",0.730761690977716
"GSE125437","HL-60","BAY-155",0.00908705087016998,0.412793603198401,"counts",0.633917980768652
"GSE230590","T-ALL","ACBI-1",0.00914645335411121,0.500249875062469,"counts",0.723393984825769
"GSE87580","CMK11-5","T-3775440",0.00988969288669866,0.444277861069465,"array",0.659921501237685
"GSE43258","GSE43258","ATRA",0.00999326558916089,0.122438780609695,"array",0.343556482628251
"GSE239859","HL-60","10 μg/ml Staphylococcus aureus lipoteichoic acids",0.0100903647053731,0.512743628185907,"counts",0.727580343906259
"GSE125437","OCI-AML3","EPZ-5676",0.0103355616910676,0.350324837581209,"counts",0.574080701584691
"GSE121175","Kasumi-1","HHT",0.010727938692413,0.534232883558221,"array",0.737473654477109
"GSE260759","MOLM14","ARM165-",0.0107617304025912,0.594202898550725,"counts",0.782007959750695
"GSE125437","KOPN-8","OTX015",0.0107871774072631,0.414292853573213,"counts",0.633917980768652
"GSE125437","OCI-AML5","BAY-155",0.011532472730535,0.223388305847076,"counts",0.445269552723638
"GSE121291","AML cell line  THP-1","FLAVO",0.0115790981587631,0.442278860569715,"array",0.659921501237685
"GSE149548","primary AML cells","Denatonium-",0.011667794732956,0.180909545227386,"array",0.403079162173299
"GSE125437","ML2","BAY-155",0.0120425891107836,0.255372313843078,"counts",0.47279258921264
"GSE217572","THP-1","AZA+Spautin-1",0.0125035367023442,0.231884057971014,"counts",0.449607257439982
"GSE125437","ML2","EPZ-5676",0.0130113789280922,0.224387806096952,"counts",0.445269552723638
"GSE89637","AML cell line","Pevonedistat",0.0130485032471808,0.443778110944528,"array",0.659921501237685
"GSE225315","MOLM-13","PR-957",0.0136168137495695,0.32783608195902,"counts",0.551459369652922
"GSE239859","HL-60","1 μg/ml Staphylococcus aureus lipoteichoic acids",0.0143051767912025,0.188405797101449,"counts",0.405551461557357
"GSE241427","ML-1","I-BRD9",0.0152489116994428,0.373813093453273,"counts",0.598415078175198
"GSE231962","RPMI-8402","Doxycycline",0.0152594982807391,0.255872063968016,"counts",0.47279258921264
"GSE228528","Jurkat","NKG2D CAR T cells",0.0156682579474642,0.407296351824088,"counts",0.630812642459258
"GSE219230","ML-2","Vorinostat",0.0167500889272829,0.362818590704648,"counts",0.586980395152742
"GSE123207","AML-193","AZA",0.0173074358564037,0.0919540229885057,"array",0.289916770010057
"GSE217572","SKM-1","AZA",0.0173391733620912,0.187406296851574,"counts",0.405551461557357
"GSE240439","HL-60","Decitabine+Simvastatin",0.0177038222734142,0.52023988005997,"counts",0.730761690977716
"GSE267885","KG1a","TAK-981",0.0178235682707455,0.294352823588206,"counts",0.508609640757852
"GSE241649","CD34+ primary AML cells","FLT3i",0.0182812614687964,0.166416791604198,"counts",0.399790758826194
"GSE217572","THP-1","Spautin-1",0.0183854412706658,0.145927036481759,"counts",0.370654672663668
"GSE125437","OCI-AML3","BAY-155",0.0186782582674142,0.0909545227386307,"counts",0.289916770010057
"GSE135030","EHEB","Flud_50uM",0.0196943348145137,0.256871564217891,"counts",0.47279258921264
"GSE220170","MOLM1","ENTI-4",0.0199016788906392,0.209395302348826,"counts",0.432409811354485
