"GSM","SampleTitle","Score","GSE","Platform","GenesFound","GenesExpected","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied"
"GSM4504730","THP1 DENATONIUM [294]",3.7094044828813,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.5 mM)","THP-1",NA,FALSE,"Denatonium-","high",FALSE
"GSM4504731","THP1 DENATONIUM [295]",3.6685229343438,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.5 mM)","THP-1",NA,FALSE,"Denatonium-","high",FALSE
"GSM4504732","THP1 DENATONIUM [296]",3.7084730077593,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.5 mM)","THP-1",NA,FALSE,"Denatonium-","high",FALSE
"GSM4504733","OCI-AML3 CNTRL [256]",2.5348935461234,"GSE149548","GPL23159",5,6,"vehicle control","OCI-AML3",NA,TRUE,"control","control",FALSE
"GSM4504734","OCI-AML3 CNTRL [257]",2.6335805152716,"GSE149548","GPL23159",5,6,"vehicle control","OCI-AML3",NA,TRUE,"control","control",FALSE
"GSM4504735","OCI-AML3 CNTRL [258]",2.3433217427624,"GSE149548","GPL23159",5,6,"vehicle control","OCI-AML3",NA,TRUE,"control","control",FALSE
"GSM4504736","OCI-AML3 DENATONIUM [259]",2.2822612800213,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.1 mM)","OCI-AML3",NA,FALSE,"Denatonium-","high",FALSE
"GSM4504737","OCI-AML3 DENATONIUM [260]",2.387913302205,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.1 mM)","OCI-AML3",NA,FALSE,"Denatonium-","high",FALSE
"GSM4504738","OCI-AML3 DENATONIUM [261]",2.4690854273211,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.1 mM)","OCI-AML3",NA,FALSE,"Denatonium-","high",FALSE
"GSM4504739","AML #1 CNTRL [297]",4.818730353,"GSE149548","GPL23159",5,6,"vehicle control","primary AML cells",NA,TRUE,"control","control",FALSE
"GSM4504740","AML #1 DENATONIUM [298]",5.220569226,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.5 mM)","primary AML cells",NA,FALSE,"Denatonium-","high",FALSE
"GSM4504741","AML #2 CNTRL [301]",4.939650628,"GSE149548","GPL23159",5,6,"vehicle control","primary AML cells",NA,TRUE,"control","control",FALSE
"GSM4504742","AML #2 DENATONIUM [302]",5.241388733,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.5 mM)","primary AML cells",NA,FALSE,"Denatonium-","high",FALSE
"GSM4504743","AML #3 CNTRL [303]",2.5315538151,"GSE149548","GPL23159",5,6,"vehicle control","primary AML cells",NA,TRUE,"control","control",FALSE
"GSM4504744","AML #3 DENATONIUM [304]",2.2763478993,"GSE149548","GPL23159",5,6,"Denatonium-treated (0.5 mM)","primary AML cells",NA,FALSE,"Denatonium-","high",FALSE
"GSM4709291","wild-type cells 50 nM LSD1 inhibitor treated - rep1",4.20246828640426,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709292","wild-type cells 100 nM LSD1 inhibitor treated - rep1",4.21572270976429,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709293","wild-type cells 50 nM NTR prodrug treated - rep1",4.20527454944196,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709294","wild-type cells 100 nM NTR prodrug treated - rep1",4.17784749542177,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709295","wild-type cells 100 nM negativ control of LSD1 inhibitor treated - rep1",4.15502545307869,"GSE155640","GPL23159",5,6,"a negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
